Gene_Symbol	Role_in_Cancer	in_cosmic	in_CPG
ELANE	TSG	0	1
FHIT	-	1	0
BUB1B	TSG	1	1
HIST1H4I	-	1	0
STK11	TSG	1	1
MEN1	TSG	1	1
IL6ST	-	1	0
LIFR	-	1	0
SRY	TSG	0	1
CDC73	TSG	1	1
PIK3CA	oncogene	1	0
CBLC	-	1	0
CBLB	TSG	1	0
ARHGEF12	TSG	1	0
TFE3	-	1	0
NUP98	-	1	0
WRN	TSG	1	1
XPA	TSG	1	1
PPARG	-	1	0
SLC45A3	-	1	0
PCSK7	-	1	0
CEP89	-	1	0
SMARCD1	-	1	0
GATA2	oncogene	1	1
GATA3	oncogene/TSG	1	0
GATA1	oncogene/TSG	1	0
COL7A1	TSG	0	1
POU2AF1	-	1	0
CCND1	oncogene	1	0
MAX	TSG	1	1
CCND3	-	1	0
CCND2	-	1	0
AKAP9	oncogene	1	0
POLH	TSG	0	1
PTEN	TSG	1	1
TCF12	-	1	0
RMRP	TSG	0	1
CTCF	TSG	1	0
IL7R	-	1	0
JAK3	-	1	0
CDKN1B	TSG	1	1
LSM14A	-	1	0
ZNF198	-	1	0
SETBP1	-	1	0
TRAF7	-	1	0
UROD	TSG	0	1
CHIC2	-	1	0
CHCHD7	-	1	0
MTCP1	-	1	0
STAG2	-	1	0
JAK2	oncogene	1	0
H3F3B	-	1	0
NF1	TSG	1	1
JAK1	-	1	0
MTOR	oncogene	1	0
MED12	-	1	0
TMEM127	TSG	0	1
BLM	TSG	1	1
CUX1	-	1	0
HOXC13	oncogene	1	0
RAP1GDS1	-	1	0
IGL	-	1	0
IGK	-	1	0
IGH	-	1	0
PSIP1	-	1	0
CBL	oncogene/TSG	1	1
PRDM1	-	1	0
SH3GL1	-	1	0
HLF	oncogene	1	0
EIF4A2	-	1	0
MYH11	-	1	0
SMAD4	TSG	1	1
GMPS	-	1	0
SRGAP3	-	1	0
SMAD3	TSG	1	0
SMO	-	1	0
POLE	TSG	1	1
EML4	-	1	0
TAF15	-	1	0
FH	TSG	1	1
DCTN1	-	1	0
COL2A1	-	1	0
TSC1	TSG	1	1
NCOA2	-	1	0
NCOA1	-	1	0
NCOA4	-	1	0
CIITA	-	1	0
TFPT	-	1	0
RET	oncogene	1	1
RBM10	TSG	1	0
RBM15	-	1	0
DDB2	TSG	1	1
PRDM16	-	1	0
TCEA1	-	1	0
SS18	-	1	0
SH2B3	TSG	1	0
LASP1	-	1	0
LRIG3	-	1	0
LEF1	oncogene/TSG	1	0
OLIG2	-	1	0
KIAA1598	-	1	0
ALK	oncogene	1	1
MAP2K2	-	1	0
LMO1	-	1	0
LMO2	-	1	0
IL21R	-	1	0
MAP2K1	-	1	0
NAB2	oncogene	1	0
ATP1A1	oncogene	1	0
PBRM1	TSG	1	0
ERBB2	oncogene	1	0
ERBB3	oncogene	1	0
CDKN2A(p14)	-	1	0
ERC1	-	1	0
MAP2K4	-	1	0
EGFR	oncogene	1	1
CTNNB1	oncogene	1	0
PLCG1	-	1	0
ERG	-	1	0
MITF	-	1	0
EPS15	-	1	0
HERPUD1	-	1	0
MYOD1	-	1	0
DDX10	-	1	0
CDK12	-	1	0
GJB2	TSG	0	1
KLF6	-	1	0
CLIP1	-	1	0
KLF4	oncogene	1	0
ETNK1	-	1	0
CXCR4	oncogene	1	0
CNOT3	-	1	0
FIP1L1	-	1	0
MUC1	-	1	0
STAT5B	-	1	0
P2RY8	-	1	0
FGFR1OP	-	1	0
SUFU	TSG	1	1
TRIP11	-	1	0
LCP1	-	1	0
PHOX2B	TSG	1	1
TCL1A	-	1	0
PRCC	-	1	0
CALR	oncogene	1	0
MAP3K13	-	1	0
GAS7	-	1	0
EWSR1	-	1	0
RPN1	-	1	0
KIAA1549	-	1	0
RAF1	-	1	0
IKBKB	-	1	0
RPL22	-	1	0
SLC25A13	TSG	0	1
FGFR4	-	1	0
RARA	oncogene	1	0
FGFR2	-	1	0
EIF3E	-	1	0
HNF1A	-	1	0
PWWP2A	-	1	0
CDH1	TSG	1	1
FGFR1	-	1	0
WT1	TSG	1	1
CDKN2A	TSG	1	1
EXT2	TSG	1	1
EXT1	TSG	1	1
RSPO2	-	1	0
LPP	-	1	0
KLK2	-	1	0
TPR	-	1	0
PAFAH1B2	-	1	0
ARID1B	TSG	1	0
ARID1A	TSG	1	0
SYK	oncogene	1	0
CYLD	TSG	1	1
ELK4	-	1	0
WHSC1	-	1	0
APC	TSG	1	1
PTPN11	oncogene	1	1
RECQL4	TSG	1	1
NFATC2	-	1	0
FOXP1	oncogene	1	0
FUS	oncogene	1	0
SDHC	TSG	1	1
FUBP1	-	1	0
WIF1	-	1	0
SMARCE1	TSG	1	1
MNX1	-	1	0
SPEN	-	1	0
MYCL	-	1	0
U2AF1	-	1	0
HFE	TSG	0	1
CCNE1	-	1	0
MKL1	-	1	0
CAMTA1	-	1	0
COX6C	-	1	0
TCF3	-	1	0
ARID2	TSG	1	0
MAF	-	1	0
MLLT10	-	1	0
MLLT11	-	1	0
PRRX1	-	1	0
CCDC6	-	1	0
IRF4	oncogene/TSG	1	0
NSD1	-	1	0
CREBBP	-	1	0
CD74	-	1	0
PDGFRB	-	1	0
PDGFRA	oncogene	1	1
TPM4	-	1	0
ZNF331	-	1	0
ATM	TSG	1	1
ZFHX3	TSG	1	0
CNBP	-	1	0
ATR	-	1	0
FANCD2	-	1	0
MALAT1	-	1	0
BRIP1	TSG	1	1
FLT4	-	1	0
FLT3	oncogene	1	0
MLF1	-	1	0
SET	-	1	0
ZBTB16	-	1	0
MECOM	oncogene	1	0
DNAJB1	-	1	0
MYH9	-	1	0
TPM3	-	1	0
FANCG	TSG	1	1
FANCF	-	1	0
FANCE	-	1	0
FANCC	TSG	1	1
FANCA	TSG	1	1
FBXW7	-	1	0
TGFBR2	TSG	1	0
TGFBR1	TSG	0	1
RALGDS	-	1	0
TET1	oncogene/TSG	1	0
CARS	-	1	0
TET2	TSG	1	0
FOXL2	-	1	0
NUTM1	-	1	0
EP300	-	1	0
ITK	TSG	1	1
ARNT	oncogene/TSG	1	0
TNFRSF14	-	1	0
ALDH2	TSG	1	0
CDK4	oncogene	1	1
CDK6	oncogene	1	0
HIP1	-	1	0
RANBP2	-	1	0
TFG	-	1	0
HOXA9	oncogene	1	0
USP8	oncogene	1	0
KTN1	-	1	0
PTK6	oncogene/TSG	1	0
MSH2	TSG	1	1
ERCC3	TSG	1	1
ERCC4	TSG	1	1
ERCC5	TSG	1	1
MSH6	TSG	1	1
SPECC1	-	1	0
