## 20162706
## Database of cancer genes. Composed by:
## 1. Cancer driver genes from cosmic cancer gene census database (27/06/2016, COSMIC v77)
## access_info: http://cancer.sanger.ac.uk/census/
## 2. Cancer predisposition genes (CPG) from Rahman N. (doi:10.1038/nature12981)
## access_info: Supplementary table 1
## <GENE_SYMBOL>	<ROLE>	<COSMIC>	<CPG>	
ELANE	TSG	0	1
FHIT	UNK	1	0
BUB1B	TSG	1	1
HIST1H4I	UNK	1	0
STK11	TSG	1	1
MEN1	TSG	1	1
IL6ST	UNK	1	0
LIFR	UNK	1	0
SRY	TSG	0	1
CDC73	TSG	1	1
PIK3CA	oncogene	1	0
CBLC	UNK	1	0
CBLB	TSG	1	0
ARHGEF12	TSG	1	0
TFE3	UNK	1	0
NUP98	UNK	1	0
WRN	TSG	1	1
XPA	TSG	1	1
PPARG	UNK	1	0
SLC45A3	UNK	1	0
PCSK7	UNK	1	0
CEP89	UNK	1	0
SMARCD1	UNK	1	0
GATA2	oncogene	1	1
GATA3	oncogene/TSG	1	0
GATA1	oncogene/TSG	1	0
COL7A1	TSG	0	1
POU2AF1	UNK	1	0
CCND1	oncogene	1	0
MAX	TSG	1	1
CCND3	UNK	1	0
CCND2	UNK	1	0
AKAP9	oncogene	1	0
POLH	TSG	0	1
PTEN	TSG	1	1
TCF12	UNK	1	0
RMRP	TSG	0	1
CTCF	TSG	1	0
IL7R	UNK	1	0
JAK3	UNK	1	0
CDKN1B	TSG	1	1
LSM14A	UNK	1	0
ZNF198	UNK	1	0
SETBP1	UNK	1	0
TRAF7	UNK	1	0
UROD	TSG	0	1
CHIC2	UNK	1	0
CHCHD7	UNK	1	0
MTCP1	UNK	1	0
STAG2	UNK	1	0
JAK2	oncogene	1	0
H3F3B	UNK	1	0
NF1	TSG	1	1
JAK1	UNK	1	0
MTOR	oncogene	1	0
MED12	UNK	1	0
TMEM127	TSG	0	1
BLM	TSG	1	1
CUX1	UNK	1	0
HOXC13	oncogene	1	0
RAP1GDS1	UNK	1	0
IGL	UNK	1	0
IGK	UNK	1	0
IGH	UNK	1	0
PSIP1	UNK	1	0
CBL	oncogene/TSG	1	1
PRDM1	UNK	1	0
SH3GL1	UNK	1	0
HLF	oncogene	1	0
EIF4A2	UNK	1	0
MYH11	UNK	1	0
SMAD4	TSG	1	1
GMPS	UNK	1	0
SRGAP3	UNK	1	0
SMAD3	TSG	1	0
SMO	UNK	1	0
POLE	TSG	1	1
EML4	UNK	1	0
TAF15	UNK	1	0
FH	TSG	1	1
DCTN1	UNK	1	0
COL2A1	UNK	1	0
TSC1	TSG	1	1
NCOA2	UNK	1	0
NCOA1	UNK	1	0
NCOA4	UNK	1	0
CIITA	UNK	1	0
TFPT	UNK	1	0
RET	oncogene	1	1
RBM10	TSG	1	0
RBM15	UNK	1	0
DDB2	TSG	1	1
PRDM16	UNK	1	0
TCEA1	UNK	1	0
SS18	UNK	1	0
SH2B3	TSG	1	0
LASP1	UNK	1	0
LRIG3	UNK	1	0
LEF1	oncogene/TSG	1	0
OLIG2	UNK	1	0
KIAA1598	UNK	1	0
ALK	oncogene	1	1
MAP2K2	UNK	1	0
LMO1	UNK	1	0
LMO2	UNK	1	0
IL21R	UNK	1	0
MAP2K1	UNK	1	0
NAB2	oncogene	1	0
ATP1A1	oncogene	1	0
PBRM1	TSG	1	0
ERBB2	oncogene	1	0
ERBB3	oncogene	1	0
CDKN2A(p14)	UNK	1	0
ERC1	UNK	1	0
MAP2K4	UNK	1	0
EGFR	oncogene	1	1
CTNNB1	oncogene	1	0
PLCG1	UNK	1	0
ERG	UNK	1	0
MITF	UNK	1	0
EPS15	UNK	1	0
HERPUD1	UNK	1	0
MYOD1	UNK	1	0
DDX10	UNK	1	0
CDK12	UNK	1	0
GJB2	TSG	0	1
KLF6	UNK	1	0
CLIP1	UNK	1	0
KLF4	oncogene	1	0
ETNK1	UNK	1	0
CXCR4	oncogene	1	0
CNOT3	UNK	1	0
FIP1L1	UNK	1	0
MUC1	UNK	1	0
STAT5B	UNK	1	0
P2RY8	UNK	1	0
FGFR1OP	UNK	1	0
SUFU	TSG	1	1
TRIP11	UNK	1	0
LCP1	UNK	1	0
PHOX2B	TSG	1	1
TCL1A	UNK	1	0
PRCC	UNK	1	0
CALR	oncogene	1	0
MAP3K13	UNK	1	0
GAS7	UNK	1	0
EWSR1	UNK	1	0
RPN1	UNK	1	0
KIAA1549	UNK	1	0
RAF1	UNK	1	0
IKBKB	UNK	1	0
RPL22	UNK	1	0
SLC25A13	TSG	0	1
FGFR4	UNK	1	0
RARA	oncogene	1	0
FGFR2	UNK	1	0
EIF3E	UNK	1	0
HNF1A	UNK	1	0
PWWP2A	UNK	1	0
CDH1	TSG	1	1
FGFR1	UNK	1	0
WT1	TSG	1	1
CDKN2A	TSG	1	1
EXT2	TSG	1	1
EXT1	TSG	1	1
RSPO2	UNK	1	0
LPP	UNK	1	0
KLK2	UNK	1	0
TPR	UNK	1	0
PAFAH1B2	UNK	1	0
ARID1B	TSG	1	0
ARID1A	TSG	1	0
SYK	oncogene	1	0
CYLD	TSG	1	1
ELK4	UNK	1	0
WHSC1	UNK	1	0
APC	TSG	1	1
PTPN11	oncogene	1	1
RECQL4	TSG	1	1
NFATC2	UNK	1	0
FOXP1	oncogene	1	0
FUS	oncogene	1	0
SDHC	TSG	1	1
FUBP1	UNK	1	0
WIF1	UNK	1	0
SMARCE1	TSG	1	1
MNX1	UNK	1	0
SPEN	UNK	1	0
MYCL	UNK	1	0
U2AF1	UNK	1	0
HFE	TSG	0	1
CCNE1	UNK	1	0
MKL1	UNK	1	0
CAMTA1	UNK	1	0
COX6C	UNK	1	0
TCF3	UNK	1	0
ARID2	TSG	1	0
MAF	UNK	1	0
MLLT10	UNK	1	0
MLLT11	UNK	1	0
PRRX1	UNK	1	0
CCDC6	UNK	1	0
IRF4	oncogene/TSG	1	0
NSD1	UNK	1	0
CREBBP	UNK	1	0
CD74	UNK	1	0
PDGFRB	UNK	1	0
PDGFRA	oncogene	1	1
TPM4	UNK	1	0
ZNF331	UNK	1	0
ATM	TSG	1	1
ZFHX3	TSG	1	0
CNBP	UNK	1	0
ATR	UNK	1	0
FANCD2	UNK	1	0
MALAT1	UNK	1	0
BRIP1	TSG	1	1
FLT4	UNK	1	0
FLT3	oncogene	1	0
MLF1	UNK	1	0
SET	UNK	1	0
ZBTB16	UNK	1	0
MECOM	oncogene	1	0
DNAJB1	UNK	1	0
MYH9	UNK	1	0
TPM3	UNK	1	0
FANCG	TSG	1	1
FANCF	UNK	1	0
FANCE	UNK	1	0
FANCC	TSG	1	1
FANCA	TSG	1	1
FBXW7	UNK	1	0
TGFBR2	TSG	1	0
TGFBR1	TSG	0	1
RALGDS	UNK	1	0
TET1	oncogene/TSG	1	0
CARS	UNK	1	0
TET2	TSG	1	0
FOXL2	UNK	1	0
NUTM1	UNK	1	0
EP300	UNK	1	0
ITK	TSG	1	1
ARNT	oncogene/TSG	1	0
TNFRSF14	UNK	1	0
ALDH2	TSG	1	0
CDK4	oncogene	1	1
CDK6	oncogene	1	0
HIP1	UNK	1	0
RANBP2	UNK	1	0
TFG	UNK	1	0
HOXA9	oncogene	1	0
USP8	oncogene	1	0
KTN1	UNK	1	0
PTK6	oncogene/TSG	1	0
MSH2	TSG	1	1
ERCC3	TSG	1	1
ERCC4	TSG	1	1
ERCC5	TSG	1	1
MSH6	TSG	1	1
SPECC1	UNK	1	0
PRSS1	TSG	0	1
EZH2	oncogene/TSG	1	0
CCNB1IP1	UNK	1	0
NDRG1	UNK	1	0
SOX2	UNK	1	0
LYL1	UNK	1	0
SMARCA4	TSG	1	1
CEBPA	TSG	1	1
AXIN2	TSG	1	1
AXIN1	UNK	1	0
RB1	TSG	1	1
SMAD2	TSG	1	0
SUZ12	UNK	1	0
FCRL4	UNK	1	0
YWHAE	UNK	1	0
XPO1	UNK	1	0
RAC1	UNK	1	0
SBDS	TSG	1	1
NR4A3	UNK	1	0
CARD11	UNK	1	0
FCGR2B	UNK	1	0
STIL	UNK	1	0
HIST1H3B	UNK	1	0
EBF1	UNK	1	0
C15orf65	UNK	1	0
PDCD1LG2	UNK	1	0
LMNA	UNK	1	0
PBX1	UNK	1	0
RAD51C	TSG	0	1
ABI1	TSG	1	0
TLX1	UNK	1	0
NOTCH2	oncogene/TSG	1	0
ACKR3	oncogene	1	0
VTI1A	UNK	1	0
PICALM	UNK	1	0
CANT1	UNK	1	0
KAT6B	UNK	1	0
KAT6A	UNK	1	0
PTCH1	TSG	1	1
CRLF2	UNK	1	0
SND1	UNK	1	0
JUN	UNK	1	0
FBXO11	UNK	1	0
CHN1	UNK	1	0
RANBP17	UNK	1	0
ZNF384	UNK	1	0
MAP3K1	UNK	1	0
CACNA1D	UNK	1	0
CBFA2T3	UNK	1	0
FAM46C	UNK	1	0
NUP214	UNK	1	0
NF2	TSG	1	1
BRCA1	TSG	1	1
FLCN	TSG	1	1
FAM131B	UNK	1	0
BRCA2	TSG	1	1
H3F3A	UNK	1	0
ERBB4	oncogene/TSG	1	0
TRIM24	UNK	1	0
IDH2	oncogene	1	0
IDH1	oncogene	1	0
TRIM27	UNK	1	0
CREB1	UNK	1	0
PER1	UNK	1	0
RPL10	UNK	1	0
BRD4	UNK	1	0
MDM2	oncogene	1	0
SETD2	TSG	1	0
MDM4	oncogene	1	0
FGFR3	UNK	1	0
BRD3	UNK	1	0
RSPO3	UNK	1	0
TCL6	UNK	1	0
ATIC	UNK	1	0
NIN	UNK	1	0
PTPN13	TSG	1	0
KIF5B	UNK	1	0
OMD	UNK	1	0
PPFIBP1	UNK	1	0
TCF7L2	UNK	1	0
KIT	oncogene	1	1
FOXA1	UNK	1	0
RUNX1	oncogene	1	1
XPC	TSG	1	1
MYO5A	UNK	1	0
ZNF278	UNK	1	0
LZTR1	TSG	1	0
TTL	UNK	1	0
RNF213	UNK	1	0
C12orf9	UNK	1	0
DOCK8	TSG	0	1
GBA	TSG	0	1
HRAS	oncogene	1	1
HIF1A	oncogene	1	0
CRTC1	UNK	1	0
TNFRSF17	UNK	1	0
CRTC3	UNK	1	0
SEPT9	UNK	1	0
SEPT5	UNK	1	0
TSHR	UNK	1	0
SEPT6	UNK	1	0
DAXX	UNK	1	0
SDHAF2	TSG	1	1
MAML2	UNK	1	0
SRSF3	UNK	1	0
PDE4DIP	UNK	1	0
NONO	UNK	1	0
AFF4	oncogene	1	0
AFF3	oncogene	1	0
AFF1	oncogene	1	0
ROS1	oncogene	1	0
TFRC	UNK	1	0
PPP6C	UNK	1	0
CHEK2	TSG	1	1
TRRAP	oncogene	1	0
PAX5	UNK	1	0
PAX7	UNK	1	0
PAX3	UNK	1	0
PAX8	UNK	1	0
GPHN	UNK	1	0
HOXC11	oncogene	1	0
ASPSCR1	oncogene	1	0
TP53	TSG	1	1
GNAQ	UNK	1	0
ESR1	UNK	1	0
CD274	UNK	1	0
PALB2	TSG	1	1
SFPQ	UNK	1	0
HMGN2P46	UNK	1	0
STRN	UNK	1	0
NFE2L2	UNK	1	0
PHF6	UNK	1	0
MYCN	oncogene	1	0
LCK	UNK	1	0
SH2D1A	TSG	0	1
NTRK1	UNK	1	0
TBX3	oncogene/TSG	1	0
LHFP	UNK	1	0
CD79B	UNK	1	0
BCR	oncogene	1	0
CD79A	UNK	1	0
STAT6	UNK	1	0
STAT3	oncogene	1	1
HOXA13	oncogene	1	0
HOXA11	oncogene	1	0
ECT2L	UNK	1	0
CBFB	UNK	1	0
RABEP1	UNK	1	0
ERCC2	TSG	1	1
BCL7A	oncogene	1	0
GOLGA5	UNK	1	0
TAL1	UNK	1	0
THRAP3	UNK	1	0
TAL2	UNK	1	0
SF3B1	UNK	1	0
USP6	UNK	1	0
ATRX	UNK	1	0
RAD51D	TSG	0	1
WAS	TSG	1	1
RAD51B	UNK	1	0
TBL1XR1	UNK	1	0
KCNJ5	UNK	1	0
MSN	UNK	1	0
GNAS	UNK	1	0
IL2	UNK	1	0
COL1A1	UNK	1	0
CDH11	UNK	1	0
PPP2R1A	UNK	1	0
CDKN2C	TSG	1	0
BIRC3	UNK	1	0
FOXO3	oncogene/TSG	1	0
BMPR1A	TSG	1	1
FOXO1	oncogene/TSG	1	0
RUNX1T1	oncogene	1	0
TOP1	UNK	1	0
FOXO4	oncogene/TSG	1	0
NCKIPSD	UNK	1	0
MLLT4	UNK	1	0
FAS	TSG	1	1
MLLT6	UNK	1	0
MLLT1	oncogene	1	0
MLLT3	oncogene	1	0
FAH	TSG	0	1
ZCCHC8	UNK	1	0
NUTM2B	UNK	1	0
HNRNPA2B1	UNK	1	0
NUTM2A	UNK	1	0
NRG1	UNK	1	0
TERT	TSG	1	1
PLAG1	UNK	1	0
NT5C2	UNK	1	0
MALT1	UNK	1	0
RUNDC2A	UNK	1	0
KMT2A	oncogene	1	0
SMARCB1	TSG	1	1
DUX4L1	UNK	1	0
KMT2D	UNK	1	0
