#cytobandId	chrom	bkpA	bkpB	class	orientation	ref	known
1p21.1	1	102568909	102568923	L1	+	0	0
1p13.1	1	116980828	116980842	L1	-	0	0
1q23.3	1	162184318	162184333	L1	-	0	0
1q24.1	1	165553136	165553149	L1	-	0	1
1q25.2	1	179575362	179575377	L1	-	0	0
1q41	1	222579116	222579130	L1	-	0	0
1p35.2	1	32004338	32004351	L1	-	0	0
10p12.31-1	10	19065785	19065798	L1	-	0	0
10p11.22	10	31517463	31517470	L1	-	0	0
10p11.21	10	36759271	36759286	L1	+	0	0
11p11.2	11	45157031	45157045	L1	+	0	0
11q14.2	11	87566743	87566756	L1	-	0	1
12q24.22	12	117814447	117814460	L1	-	0	0
12p11.1	12	33325794	33325803	L1	-	0	0
12q15	12	71020035	71020045	L1	+	0	0
12q23.1	12	96912555	96912569	L1	-	0	0
13q21.2-1	13	61221157	61221172	L1	-	0	1
13q21.2-2	13	61462336	61462344	L1	-	0	1
14q12-1	14	24992912	24992925	L1	-	0	0
14q12-2	14	31150809	31150826	L1	-	0	1
14q22.1	14	52667758	52667767	L1	-	0	1
14q23.1	14	59220385	59220402	L1	+	0	1
14q24.2	14	71197777	71197799	L1	+	0	0
15q21.3	15	56251135	56251152	L1	+	0	1
15q25.2-2	15	85140894	85140909	L1	+	0	0
16p12.1	16	27425927	27425940	L1	-	0	0
17q24.2	17	64637275	64637294	L1	+	0	1
18q23	18	73290637	73290642	L1	-	0	0
19q13.32	19	47024925	47024939	L1	-	0	0
2q21.3	2	135117701	135117710	L1	+	0	1
2q22.2	2	144010779	144010793	L1	+	0	0
2q24.1	2	156527822	156527848	L1	+	0	1
2q32.2	2	191478701	191478714	L1	-	0	0
2p24.1	2	23191000	23191016	L1	-	0	1
2p22.3	2	36570243	36570259	L1	-	0	1
21q21.1	21	19082364	19082378	L1	-	0	1
3q12.3	3	101279644	101279657	L1	+	0	0
3q21.1	3	123590713	123590726	L1	+	0	1
3q25.1	3	151148544	151148555	L1	-	0	1
3q27.3	3	186372124	186372141	L1	+	0	0
3p24.3	3	20090517	20090533	L1	-	0	1
3p24.1	3	27529294	27529306	L1	-	0	1
3p14.3	3	55788568	55788580	L1	+	0	1
3p12.2	3	80590163	80590176	L1	-	0	0
4p16.1	4	10632679	10632694	L1	-	0	0
4q25-1	4	110248316	110248332	L1	-	0	0
4q25-2	4	112628960	112628973	L1	+	0	1
4q31.3	4	152732810	152732823	L1	-	0	1
5q21.3	5	109480258	109480269	L1	-	0	1
5q22.2	5	112703068	112703081	L1	+	0	1
5q31.2	5	137014775	137014790	L1	-	0	0
5p15.1-1	5	16464296	16464309	L1	+	0	0
5p15.1-2	5	16883011	16883024	L1	-	0	0
5q13.1	5	68184430	68184446	L1	+	0	0
5q14.3	5	89450769	89450781	L1	+	0	1
6q16.3	6	102846086	102846094	L1	-	0	0
6q22.31	6	123853938	123853946	L1	-	0	1
6p24.1	6	13191016	13191033	L1	+	0	1
6q24.2	6	145500928	145500940	L1	-	0	1
6q25.3	6	157968737	157968750	L1	-	0	1
6p22.3-2	6	19793115	19793129	L1	+	0	0
6p22.1	6	29920213	29920223	L1	+	0	1
6p21.32	6	32613444	32613447	L1	+	0	0
6q11.2	6	63368196	63368207	L1	+	0	0
6q13	6	72799500	72799515	L1	+	0	1
7q31.2	7	116270320	116270339	L1	-	0	0
7p12.3	7	47864826	47864838	L1	+	0	0
7p12.1	7	53652502	53652516	L1	-	0	1
8q12.1	8	57161893	57161906	L1	+	0	1
8p23.1f	8	9469149	9469163	L1	-	0	0
9q31.3	9	111564957	111564969	L1	+	0	1
9p24.1	9	5491407	5491418	L1	+	0	0
9q22.33	9	99364827	99364841	L1	+	0	0
Xq27.2	X	140515258	140515272	L1	-	0	1
3q26.1	3	161048046	161048062	L1	-	0	0
1p13.2	1	114039842	114045878	L1HS	+	1	1
1q44	1	247850475	247856509	L1HS	+	1	0
10q25.1	10	111572124	111578217	L1HS	-	1	1
11q21-1	11	92869804	92875851	L1HS	+	1	0
11q21-2	11	93154151	93160198	L1HS	+	1	0
3p11.1	3	89509980	89516007	L1HS	-	1	1
4p15.31	4	21161002	21167098	L1HS	+	1	0
4q13.3	4	75642756	75648794	L1HS	-	1	0
4q21.21	4	80888062	80894092	L1HS	+	1	1
4q22.1	4	91596798	91602909	L1HS	-	1	0
6p22.3-1	6	19765125	19771185	L1HS	+	1	1
6p22.3-3	6	24811887	24817951	L1HS	-	1	1
7q34	7	141620475	141626513	L1HS	-	1	1
7p14.3	7	30478858	30484915	L1HS	+	1	1
7p12.2	7	49719848	49725898	L1HS	-	1	0
8q24.13	8	126595129	126601135	L1HS	+	1	1
8q24.22	8	135082929	135089016	L1HS	-	1	1
8q13.3	8	73787775	73793824	L1HS	-	1	1
9q21.32	9	85664450	85670508	L1HS	-	1	1
Xp22.2-1	X	11725366	11731400	L1HS	+	1	1
Xp22.2-2	X	11953199	11959436	L1HS	-	1	1
5q11.2	5	57680002	57686096	L1HS	+	1	0
1p12	1	119394975	119401004	L1HS	+	1	1
1p11.2	1	121274033	121280060	L1HS	-	1	1
1q31.3	1	196188501	196194533	L1HS	-	1	1
1p31.1-1	1	72353887	72359919	L1PA2	+	1	1
1p31.1-2	1	84518060	84524090	L1HS	-	1	1
1p22.3	1	87144764	87150795	L1HS	-	1	1
10p12.31-2	10	19377515	19383548	L1HS	-	1	1
10q23.1	10	87115263	87121295	L1HS	+	1	0
